scorer,,,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He
bodyparts,,,Nose,Nose,Head,Head,Necktop,Necktop,Shoulder,Shoulder,SpineFront,SpineFront,SpineBack,SpineBack,TailBase,TailBase,BottomBack,BottomBack,BottomFront,BottomFront,NeckBot,NeckBot,LeftFrontLeg,LeftFrontLeg,LeftFrontHoof,LeftFrontHoof,RightFrontLeg,RightFrontLeg,RightFrontHoof,RightFrontHoof,LeftBackLeg,LeftBackLeg,LeftBackHoof,LeftBackHoof,RightBackHoof,RightBackHoof,RightBackLeg,RightBackLeg,UnderBelly,UnderBelly
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,A_clear_180428050000_2,img057.png,690.3558277165871,419.9241328291961,674.5741410488245,339.70055893473614,607.5019727108335,326.54915337826725,557.5266315962518,293.6706394870952,466.7819332566168,287.0949367088607,364.2009699161598,296.30092059838887,289.23795824428737,314.7128883774453,335.26787769192833,423.8695544961368,577.253739930955,417.2938517179023,631.1745027124773,389.67590004931776,568.0477560414269,440.96638171954623,603.5565510438928,515.9293933914187,512.8118527042577,439.6512411638994,518.0724149268452,527.7656583922407,,,,,,,,,435.5583180050264,421.9927742261367
labeled-data,A_clear_180428050000_2,img060.png,725.864622719053,410.7181489396679,698.2466710504684,333.1248561565017,625.9139404898898,326.54915337826725,586.4597238204832,294.985780042742,508.86643103731706,288.41007726450766,415.4914515863883,287.0949367088607,318.17105046851884,318.658310044386,,,607.5019727108335,419.9241328291961,652.2167516028275,393.6213217162584,524.6481177050797,435.7058194969587,510.1815715929639,522.5050961696531,582.5143021535426,433.07553838566497,623.283659378596,529.0807989478876,,,,,,,,,459.72202847078415,426.82551631928834
labeled-data,A_clear_180428050000_2,img063.png,741.6463093868156,402.8273056057866,721.9192010521124,319.97345060003283,646.95618938024,319.97345060003283,602.2414104882458,292.3554989314482,518.0724149268452,287.0949367088607,411.5460299194476,300.2463422653296,,,,,623.283659378596,415.9787111622554,678.5195627157651,380.46991615978953,548.3206477067235,433.07553838566497,518.0724149268452,525.1353772809468,590.4051454874239,433.07553838566497,619.3382377116553,519.8748150583593,,,,,,,,,500.3170620532573,428.7586131565488
labeled-data,A_clear_180428050000_2,img081.png,862.639240506329,389.67590004931776,844.2272727272726,317.3431694887391,774.5248232779877,308.13718559921085,741.6463093868156,281.8343744862732,670.6287193818838,277.88895281933253,578.568880486602,283.14951504192004,485.1939010356731,306.822045043564,493.0847443695544,398.88188393884593,770.579401611047,401.5121650501397,806.0881966135129,367.3185106033207,692.9861088278809,409.403008384021,682.4649843827058,504.0931283905968,752.1674338319907,402.8273056057866,794.251931612691,493.57200394542167,489.13932270261375,419.9241328291961,479.9333388130856,504.0931283905968,544.3752260397829,415.9787111622554,568.0477560414269,523.8202367253,656.8979058713676,412.3272900398333
labeled-data,A_clear_180428050000_2,img082.png,866.5846621732697,394.93646227190527,852.118116061154,322.60373171132665,788.9913693901035,309.4523261548578,753.4825743876376,279.2040933749794,689.0406871609403,275.2586717080387,593.0354265987177,283.14951504192004,491.7696038139076,301.5614828209765,510.1815715929639,400.1970244944928,779.7853855005752,392.3061811606115,817.924461614335,368.6336511589676,700.8769521617622,412.0332894953148,689.0406871609403,508.0385500575374,757.4279960545782,402.8273056057866,791.6216505013972,490.9417228341279,512.8118527042577,421.239273384843,491.7696038139076,523.8202367253,547.0055071510767,426.49983560743055,570.6780371527207,527.7656583922407,665.4941513645573,414.2700684787519
labeled-data,A_clear_180428050000_2,img083.png,877.1057866184448,388.36075949367086,857.3786782837414,318.658310044386,790.3065099457503,304.1917639322702,753.4825743876376,276.5738122636857,678.5195627157651,276.5738122636857,590.4051454874239,281.8343744862732,504.9210093703764,296.30092059838887,520.702696038139,406.77272727272725,787.6762288344565,392.3061811606115,820.5547427256287,364.68822949202695,702.1920927174091,405.4575867170804,683.7801249383527,506.7234095018905,762.6885582771657,401.5121650501397,788.9913693901035,494.8871445010685,520.702696038139,422.5544139404899,535.1692421502547,504.0931283905968,554.896350484958,419.9241328291961,557.5266315962518,522.5050961696531,674.3557969603421,411.90696298654257
labeled-data,A_clear_180428050000_2,img090.png,931.0265493999668,377.8396350484958,925.7659871773797,304.1917639322702,857.3786782837414,298.9312017096827,817.924461614335,269.9981094854512,752.1674338319907,267.3678283741574,661.4227354923556,275.2586717080387,565.4174749301332,292.3554989314482,586.4597238204832,380.46991615978953,842.9121321716258,383.10019727108335,877.1057866184448,352.85196449120497,831.0758671708037,409.403008384021,869.2149432845634,477.790317277659,796.8822127239847,404.1424461614335,782.415666611869,488.3114417228341,621.9685188229491,427.8149761630774,657.477313825415,506.7234095018905,569.3628965970737,438.3361006082525,565.4174749301332,525.1353772809468,737.5688688769408,398.9098827793914
labeled-data,A_clear_180428050000_2,img103.png,1038.8680749630116,356.7973861581456,1020.4561071839552,302.87662337662334,953.383938845964,285.77979615321385,913.9297221765574,259.4769850402762,856.0635377280945,255.5315633733356,769.2642610554002,264.7375472628637,683.7801249383527,283.14951504192004,691.6709682722341,380.46991615978953,,,,,870.5300838402103,394.93646227190527,869.2149432845634,477.790317277659,928.3962682886732,387.045618938024,952.0687982903172,462.0086306098965,739.0160282755219,419.9241328291961,765.3188393884595,497.51742561236233,685.0952654939996,419.9241328291961,683.7801249383527,508.0385500575374,829.7299830731033,394.1836717949727
