scorer,,,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He,He
bodyparts,,,Nose,Nose,Head,Head,Necktop,Necktop,Shoulder,Shoulder,SpineFront,SpineFront,SpineBack,SpineBack,TailBase,TailBase,BottomBack,BottomBack,BottomFront,BottomFront,NeckBot,NeckBot,LeftFrontLeg,LeftFrontLeg,LeftFrontHoof,LeftFrontHoof,RightFrontLeg,RightFrontLeg,RightFrontHoof,RightFrontHoof,LeftBackLeg,LeftBackLeg,LeftBackHoof,LeftBackHoof,RightBackHoof,RightBackHoof,RightBackLeg,RightBackLeg,UnderBelly,UnderBelly
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,A_clear_180428050000_10,img047.png,667.9984382705901,423.86955449613674,639.0653460463586,347.59140226861746,581.1991615978957,335.7551372677955,531.2238204833141,302.87662337662334,453.6305277001479,283.14951504192004,354.99498602663164,285.77979615321385,257.6745849087622,316.0280289330922,,,528.5935393720204,426.49983560743055,583.8294427091895,397.5667433831991,481.24847936873255,443.59666283084005,481.24847936873255,514.6142528357718,507.5512904816702,444.9118033864869,533.8541015946079,531.7110800591813,,,,,,,,,412.2139347049566,430.2814445678243
labeled-data,A_clear_180428050000_10,img049.png,698.2466710504684,433.07553838566497,687.7255466052934,360.7428078250863,625.9139404898898,338.38541837908923,543.060085484136,285.77979615321385,453.6305277001479,280.51923393062634,352.3647049153378,296.30092059838887,,,,,573.3083182640144,426.49983560743055,,,619.3382377116553,396.2516028275522,553.5812099293112,430.44525727437116,578.568880486602,493.57200394542167,512.8118527042577,430.44525727437116,527.2783988163734,529.0807989478876,,,,,,,412.39942897934486,429.27594265238054
labeled-data,A_clear_180428050000_10,img052.png,735.0706066085812,417.2938517179023,728.4949038303467,367.3185106033207,654.8470327141213,334.43999671214857,603.5565510438928,291.04035837580136,506.23614992602324,280.51923393062634,428.6428571428571,285.77979615321385,,,,,612.762534933421,415.9787111622554,654.8470327141213,390.9910406049646,593.0354265987177,426.49983560743055,640.3804866020055,511.98397172447807,541.7449449284892,422.5544139404899,529.9086799276672,522.5050961696531,,,,,,,,,459.827840793825,430.4023844320151
labeled-data,A_clear_180428050000_10,img055.png,769.2642610554002,401.51216505013974,750.8522932763439,338.38541837908923,692.9861088278809,326.54915337826725,637.7502054907118,283.14951504192004,541.7449449284892,276.5738122636857,439.16398158803224,288.41007726450766,361.570688804866,321.28859115567974,,,665.3681571592963,410.7181489396679,703.5072332730559,388.36075949367086,643.0107677132993,434.3906789413118,661.4227354923556,501.462847279303,614.0776754890678,433.07553838566497,641.6956271576524,517.2445339470655,,,,,451.0002465888541,437.02096005260563,504.9210093703764,535.656501726122,509.15027365161654,428.6815391947507
labeled-data,A_clear_180428050000_10,img056.png,777.1551043892815,405.45758671708035,756.1128554989314,339.70055893473614,692.9861088278809,313.3977478217984,653.5318921584743,281.8343744862732,582.5143021535426,276.5738122636857,483.87876048002624,280.51923393062634,,,406.2854676968601,412.0332894953148,675.8892816044714,410.7181489396679,700.8769521617622,384.4153378267302,660.1075949367088,433.07553838566497,681.1498438270589,496.2022850567154,625.9139404898898,429.1301167187243,636.4350649350648,511.98397172447807,481.24847936873255,437.02096005260563,415.4914515863883,488.3114417228341,454.94566825579477,443.59666283084005,504.9210093703764,534.341361170475,526.5251225983761,431.11665161509575
labeled-data,A_clear_180428050000_10,img057.png,791.6216505013972,404.1424461614335,775.8399638336347,339.70055893473614,731.1251849416406,322.60373171132665,674.5741410488245,284.464655597567,594.3505671543645,280.51923393062634,502.2907282590826,288.41007726450766,398.3946243629788,309.4523261548578,435.2185599210916,404.1424461614335,694.3012493835278,409.403008384021,728.4949038303467,389.67590004931776,632.4896432681242,430.44525727437116,635.119924379418,504.09312839059675,683.7801249383527,427.8149761630774,727.1797632746999,509.35369061318426,490.4544632582607,452.8026467203682,,,448.3699654775604,464.6389117211902,502.2907282590826,530.3959395035345,554.5201360685581,429.89257744713797
labeled-data,A_clear_180428050000_10,img059.png,825.8153049482163,393.6213217162584,806.0881966135129,330.4945750452079,761.3734177215189,322.60373171132665,698.2466710504684,287.0949367088607,611.447394377774,277.88895281933253,519.3875554824922,287.0949367088607,410.23088936380077,308.13718559921085,439.16398158803224,405.45758671708035,736.3857471642281,409.403008384021,762.6885582771657,380.46991615978953,646.95618938024,430.44525727437116,643.0107677132993,510.66883116883116,715.3434982738779,429.1301167187243,761.3734177215189,505.4082689462436,439.16398158803224,438.3361006082525,443.1094032549728,508.0385500575374,477.3030577017919,437.02096005260563,499.6604471477889,523.8202367253,582.5716024446983,424.25720034661526
labeled-data,A_clear_180428050000_10,img060.png,841.5969916159789,390.9910406049646,810.0336182804537,326.54915337826725,757.4279960545782,312.0826072661515,710.0829360512904,277.88895281933253,612.762534933421,275.2586717080387,524.6481177050797,280.51923393062634,427.32771658721026,305.50690448791715,457.5759493670886,400.19702449449284,742.9614499424625,401.51216505013974,771.894542166694,377.8396350484958,660.1075949367088,422.5544139404899,640.3804866020055,511.98397172447807,732.4403254972874,427.8149761630774,765.3188393884595,506.7234095018905,448.3699654775604,440.96638171954623,,,486.50904159132006,442.28152227519314,504.9210093703764,539.6019233930626,594.2893982826321,423.252817846221
